허가번호,발전소명,법인(회사)명,설치장소,사업개시용량,사업개시일
2015-12,명대태양광발전소,주식회사 명대태양광발전,청도군 매전면 온막리 산13-2,2750.94,2017-04-27
2015-21,화북태양광발전소,화북태양광발전소 영농조합법인,"영천시 화북면 용소리 산55-8, 산76",2401.85,2017-05-16
2015-22,미래솔라에너지 주식회사,미래솔라에너지 주식회사,문경시 마성면 외어리 산87-1 외 1필지,2063.88,2016-09-09
2015-25,영순태양광발전소,유니청정에너지㈜,문경시 영순면 왕태리 429-7외 3필지,1701,2015-12-30
2015-29,하늘농장풍양 태양광발전소,하늘농장㈜,"예천군 풍양면 흔효리 산14-5, 300-3",1502.55,2017-04-06
2015-30,에이스에너지도개,㈜에이스에너지도개,구미시 도개면 용산리 산29-1,1997.64,2017-01-10
2015-34,㈜사리태양광발전소,㈜사리태양광발전소,"영천시 임고면 사리 산150-3, 산150-5",1998,2016-02-28
2015-40,성산태양광발전소,(주)성산,경산시 용성면 곡신리 760-1,1807.92,2017-08-16
2015-49,의성율현태양광발전소,㈜대정물산,경북 의성군 구천면 장국리 286-4,2000.32,2017-12-27
2015-56,순수햇빛발전(주)태양광발전소,순수햇빛발전㈜,"군위군 군위읍 상곡리 산42, 산42-6, 산42-7",2998.8,2021-11-01
2015-57,(주)태선에너지태양광발전소,㈜태선에너지,"군위군 군위읍 상곡리 산42, 산42-6, 산42-7",2988.8,2021-08-19
2015-58,대광태양광발전소,(유)율현,상주시 화남면 중눌리 산87,1996.4,2016-12-28
2015-69,우도에너지 경주발전소, (주)우도에너지,경주시 서면 운대리 산17-3,2973.6,2017-06-14
2015-70,진양쏠라17호 태양광발전소,진양쏠라㈜,의성군 안계면 시안리 산37,1910.79,2016-10-27
